NPI,NPPES_PROVIDER_LAST_ORG_NAME,NPPES_PROVIDER_FIRST_NAME,NPPES_PROVIDER_CITY,NPPES_PROVIDER_STATE,SPECIALTY_DESCRIPTION,DESCRIPTION_FLAG,DRUG_NAME,GENERIC_NAME,BENE_COUNT,TOTAL_CLAIM_COUNT,TOTAL_DAY_SUPPLY,TOTAL_DRUG_COST,BENE_COUNT_GE65,BENE_COUNT_GE65_SUPPRESS_FLAG,TOTAL_CLAIM_COUNT_GE65,GE65_SUPPRESS_FLAG,TOTAL_DAY_SUPPLY_GE65,TOTAL_DRUG_COST_GE65,YEAR,OPIOID_FLAG
1417912783,BAUGHMAN,ROBERT,CINCINNATI,OH,Pulmonary Disease,S,H.P. ACTHAR,CORTICOTROPIN,18,95,2061,3899342.51,,*,,*,,,2014,
1417964651,AGUS,BERTRAND,NEW YORK,NY,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,16,382,555651.96,,#,,#,,,2014,
1053359356,AHN,JEANIE,FREMONT,CA,Nephrology,S,H.P. ACTHAR,CORTICOTROPIN,,12,204,388471.16,,#,,#,,,2014,
1477584399,ALAPPATT,CHACKO,MIDDLETOWN,OH,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,16,368,745858.53,,#,,#,,,2014,
1942252697,BELLO,ALFONSO,GLENVIEW,IL,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,15,363,675923.55,,*,,*,,,2014,
1811984487,AWERBUCH MD PLLC,GAVIN,SAGINAW,MI,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,13,65,427005.56,0,,0,,0,0,2014,
1881700334,BOTSON,JOHN,ANCHORAGE,AK,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,41,676,1344798.52,,*,,*,,,2014,
1356316566,BUTLER,ELIZABETH,ATLANTA,GA,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,47,932,1775309.85,,*,,*,,,2014,
1164497236,BUMSTEAD,BARBARA,BAY SHORE,NY,Nurse Practitioner,S,H.P. ACTHAR,CORTICOTROPIN,,16,80,510505.78,,#,,#,,,2014,
1346444742,CAPPS,RAYMOND,TULLAHOMA,TN,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,14,70,443506.59,,*,,*,,,2014,
1043210214,CHANDRASEKHAR,KAUSALYA,KOKOMO,IN,Rheumatology,S,H.P. ACTHAR,CORTICOTROPIN,,11,187,356192.28,,*,,*,,,2014,
1295709061,CHAUDHRY,ANU,RAHWAY,NJ,Internal Medicine,S,H.P. ACTHAR,CORTICOTROPIN,,12,204,392332.64,,*,12,,204,392332.64,2014,
1801094032,CHAN,JACQUELINE,TRACY,CA,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,50,1103,1620796.04,,*,,*,,,2014,
1720029317,CHINEA,ANGEL,GUAYNABO,PR,Neurology,S,H.P. ACTHAR,CORTICOTROPIN,,12,60,394419.3,0,,0,,0,0,2014,
