taxonomy_code,taxonomy_description,classification,specialization
"202C00000X","Allopathic & Osteopathic Physicians","Independent Medical Examiner",""
"202K00000X","Allopathic & Osteopathic Physicians","Phlebology",""
"204C00000X","Allopathic & Osteopathic Physicians","Neuromusculoskeletal Medicine, Sports Medicine",""
"204D00000X","Allopathic & Osteopathic Physicians","Neuromusculoskeletal Medicine & OMM",""
"204E00000X","Allopathic & Osteopathic Physicians","Oral & Maxillofacial Surgery",""
"204F00000X","Allopathic & Osteopathic Physicians","Transplant Surgery",""
"204R00000X","Allopathic & Osteopathic Physicians","Electrodiagnostic Medicine",""
"207K00000X","Allopathic & Osteopathic Physicians","Allergy & Immunology",""
"207KA0200X","Allopathic & Osteopathic Physicians","Allergy & Immunology","Allergy"
"207KI0005X","Allopathic & Osteopathic Physicians","Allergy & Immunology","Clinical & Laboratory Immunology"
"207L00000X","Allopathic & Osteopathic Physicians","Anesthesiology",""
"207LA0401X","Allopathic & Osteopathic Physicians","Anesthesiology","Addiction Medicine"
"207LC0200X","Allopathic & Osteopathic Physicians","Anesthesiology","Critical Care Medicine"
"207LH0002X","Allopathic & Osteopathic Physicians","Anesthesiology","Hospice and Palliative Medicine"
"207LP2900X","Allopathic & Osteopathic Physicians","Anesthesiology","Pain Medicine"
"207LP3000X","Allopathic & Osteopathic Physicians","Anesthesiology","Pediatric Anesthesiology"
"207N00000X","Allopathic & Osteopathic Physicians","Dermatology",""
"207ND0101X","Allopathic & Osteopathic Physicians","Dermatology","MOHS-Micrographic Surgery"
"207ND0900X","Allopathic & Osteopathic Physicians","Dermatology","Dermatopathology"
"207NI0002X","Allopathic & Osteopathic Physicians","Dermatology","Clinical & Laboratory Dermatological Immunology"
"207NP0225X","Allopathic & Osteopathic Physicians","Dermatology","Pediatric Dermatology"
"207NS0135X","Allopathic & Osteopathic Physicians","Dermatology","Procedural Dermatology"
"207P00000X","Allopathic & Osteopathic Physicians","Emergency Medicine",""
"207PE0004X","Allopathic & Osteopathic Physicians","Emergency Medicine","Emergency Medical Services"
"207PE0005X","Allopathic & Osteopathic Physicians","Emergency Medicine","Undersea and Hyperbaric Medicine"
"207PH0002X","Allopathic & Osteopathic Physicians","Emergency Medicine","Hospice and Palliative Medicine"
"207PP0204X","Allopathic & Osteopathic Physicians","Emergency Medicine","Pediatric Emergency Medicine"
"207PS0010X","Allopathic & Osteopathic Physicians","Emergency Medicine","Sports Medicine"
"207PT0002X","Allopathic & Osteopathic Physicians","Emergency Medicine","Medical Toxicology"
"207Q00000X","Allopathic & Osteopathic Physicians","Family Medicine",""
